species_work,priority,plant_growth_form,life_history,woodiness,fruit_type,fruit_fleshiness,fruit_fleshiness_source,fruit_colour,growth_substrate,plant_height,seed_dry_mass,leaf_mass_per_area,leaf_length,leaf_width,leaf_area,leaf_N_per_dry_mass,seed_length,seed_width,fruit_length,fruit_width,wood_density
Sigesbeckia orientalis,,herb,annual,herbaceous,achene nut,dry,AusTraits consensus,black,,1,1.09,104,57.8,23.8,403,19.9,,,2.58,,
Solanum nigrum,priority,herb,annual perennial,semi-woody,berry,fleshy,AusTraits consensus,black green purple,,1,0.25,43.113555549143356,58.7,33.4,4000,,1.99,,6.93,6.93,
Solanum americanum,priority,herb,annual perennial,semi-woody,berry,fleshy,Inferred from fruit type,black purple,,2,0.8,,49,27.1,,,1.24,,7.02,7.13,
Solanum torvum,,shrub,perennial,woody,berry,fleshy,AusTraits consensus,yellow,,4,1.1,,122,89.4,23800,,1.86,,12.2,12.2,0.476
Sonchus oleraceus,priority,herb,annual,herbaceous,achene,dry,AusTraits consensus,brown,,1.1,0.28,34.5,105,45.9,2010,27.1,,,2.87,0.707,
Spermacoce remota,,herb,perennial,semi-woody,capsule,dry,Inferred from fruit type,,,0.4,0.448,,30,9.8,,,2,0.8,,,
Sporobolus sessilis,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,brown,,1,,,132,1.28,216,,0.894,,0.894,0.6,
Stachytarpheta cayennensis,priority,herb,perennial,semi-woody,mericarp nut,dry,AusTraits consensus,black brown,,2.5,,49.00000000036752,50,31.6,,,,,3.46,2,
Stachytarpheta jamaicensis,priority,shrub,perennial,woody,mericarp nut,dry,AusTraits consensus,black brown,,1.2,0.82,56.6999999999999,44.7,22.4,2700,,,,4.58,2,0.321
Stylosanthes humilis,,herb,annual perennial,semi-woody,legume,dry,Inferred from fruit type,,,0.6,2.493542063849888,,11,3,,,,,4.9,2.5,
Syagrus romanzoffiana,,palmoid,perennial,semi-woody,,fleshy,new flora data,orange yellow,,15,3985.0665176456446,,4400,,,,9.8,6,24.5,14.1,
Thunbergia alata,,climber_herbaceous,perennial,herbaceous,capsule,dry,AusTraits consensus,,,5,25.56343076368724,,37.4,21.2,,,4,,17.9,6.93,
Tithonia diversifolia,,herb,perennial,herbaceous,achene nut,dry,AusTraits consensus,black white yellow,,5,4.070956223788214,,125,113,,,,,6.12,,
Tridax procumbens,priority,herb,perennial,herbaceous,achene nut,dry,AusTraits consensus,,,0.6,0.6838705858103741,25.06265664160401,33.1,14.1,,,,,2.45,,
Xanthium occidentale,priority,herb,annual,herbaceous,achene,dry,Inferred from fruit type,,,1.5,,,84.9,84.9,3500,,,,12.2,,
Cryptostegia grandiflora,,climber_woody,perennial,woody,follicle,dry,AusTraits consensus,,,2,8.570000000000002,,100,46,,,8,,118,28.2,
Opuntia stricta,priority,shrub,perennial,woody,berry,fleshy,new flora data,purple,,2,21.921466568542975,,15.4,8.21,,,4.47,,47.9,31.6,
Sporobolus africanus,priority,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,brown,,0.5,0.19,,109,1.86,345,,,,1.2,0.6,
Sporobolus pyramidalis,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,brown,,1.3,0.16,66.59918022894976,241,5.89,1750,,,,0.894,0.5,
Lantana camara,priority,climber_woody,perennial,woody,drupe pyrene,fleshy,AusTraits consensus,black blue purple,,3,23,40.8,56.3,36.6,2150,,,,5.57,5.33,
Lantana montevidensis,,shrub,perennial,woody,drupe pyrene,fleshy,Inferred from fruit type,black purple,,0.3,,,15.4,9.46,,,,,,4.9,
Sphagneticola trilobata,,herb,perennial,herbaceous,achene nut,dry,AusTraits consensus,,,0.7,,,58.7,35.6,,,,,4.47,,
Tecoma stans,,shrub tree,perennial,woody,capsule,dry,Inferred from fruit type,,,4,6.274083037022319,,50,15.5,,,20,6,148,13.4,
Acacia leiocalyx,,shrub tree,perennial,woody,legume,dry,AusTraits consensus,,,6,6.51,103,111,14.8,2150,,2.96,,85,2.83,0.576
Canavalia sericea,,climber_herbaceous,perennial,herbaceous,legume,dry,Inferred from fruit type,,,,,,,,,,,,,,
Cyperus stradbrokensis,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,black brown,,0.45,,,,3.5,,,,,0.8,0.7,
Eriachne stipacea,,graminoid,annual perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1,1.17,,152,3.87,470,,,,2.45,,
Eucalyptus robusta,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,30,1.57,211,126,35.2,,12.9,1.47,,13.4,8.12,0.681
Hibbertia linearis,,shrub,perennial,woody,follicle,dry,Inferred from fruit type,,,2,4.67,175,15.5,3.25,32.8,,,,,,0.61
Sersalisia sericea,priority,shrub tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,black purple,,15,,94.9,67.7,32.8,1160,,15.2,9.24,20.8,12.2,
Abildgaardia ovata,,graminoid,perennial,herbaceous,nut,dry,AusTraits consensus,brown grey yellow,,0.4,,,155,1,,,2,,2.45,1.36,
Abrus precatorius,priority,climber_woody,perennial,woody,legume,dry,AusTraits consensus,brown,,10,70.1,30.410355879849785,11.7,4.9,578,30.4,6.44,4.7,33.3,13,
Abutilon indicum,priority,shrub,perennial,woody,capsule mericarp,dry,AusTraits consensus,black,,4,3.19,25.575447570332482,68.2,50.8,,,2.48,2,12.2,15.4,
Acacia disparrima,,shrub tree,perennial,woody,legume,dry,Inferred from fruit type,,,12,16.6,118,82.8,11.1,2100,,4.46,3.09,47.4,13.6,0.645
Acacia julifera,,shrub tree,perennial,woody,legume,dry,AusTraits consensus,,,7.5,26.4,,87.7,11.6,,,3.67,1.53,77.1,3.16,
Achyranthes aspera,priority,herb,perennial,semi-woody,nut utricle,dry,AusTraits consensus,,,1.5,1.81,,49.6,26.9,9180,,2.15,1.56,2.61,1.41,
Acronychia laevis,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,purple white,,12,13,90.9,47.4,22.4,2130,,4.08,2.45,8.6,8.82,0.523
Acrostichum speciosum,,fern,perennial,herbaceous,,,,,terrestrial,3,,196.69717218519025,62.6,27.4,,,,,,,
Adiantum hispidulum,,fern,perennial,herbaceous,,,,,terrestrial,0.5,,70.8,11.1,3.46,,18.3,,,,,
Aegiceras corniculatum,,shrub tree,perennial,woody,capsule follicle,dry,AusTraits consensus,green pink red,aquatic,5,510,139.3939042693469,56.7,26.8,,,,,34,4.9,0.583
Allocasuarina littoralis,priority,shrub tree,perennial,woody,nut samara,dry,AusTraits consensus,black brown,,15,2.19,278,2.27,0.665,60.8,12.7,3.86,1.47,6.32,,0.632
Alloteropsis semialata,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.2,1.87,69.6,224,3.16,913,,,,1.4,,
Alphitonia excelsa,,tree,perennial,woody,capsule drupe follicle,dry fleshy,AusTraits consensus,black,,20,19.3,101,88.8,29.1,3510,12.6,4.4,2.4,8.08,8.14,0.553
Amyema conspicua,,shrub,perennial,woody,berry drupe,fleshy,AusTraits consensus,,epiphyte terrestrial,,1.4,,50.5,20,2300,,3,,7,7,
Aphananthe philippinensis,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,green yellow,,35,44.1,85.6,43.8,20.9,604,21.3,5.92,3,8.19,7.67,0.567
Argusia argentea,priority,shrub,perennial,woody,drupe mericarp,fleshy,AusTraits consensus,brown cream,,3,15.8,,129,51.6,,,2,1.41,5.42,5.63,
Aristida gracilipes,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.2,,,56.6,1.02,18,,6.93,,6.93,,
Aristida holathera,,graminoid,annual perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.25,10.7,120,158,1.68,149,8.87,6.16,,6.16,,
Aristida queenslandica,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.367,0.904,,275,1.62,360,,3.6,,4.76,,
Aristida warburgii,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.2,,,113,1.19,72,,6.48,,6.48,,
Arundinella nepalensis,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,3,0.184,,179,5.48,741,,1.6,,,,
Arytera divaricata,,tree,perennial,woody,capsule,dry,AusTraits consensus,brown orange yellow,,30,153,132,70.7,30,6000,17.4,12.2,5.92,12.2,10.7,0.609
Avicennia marina,priority,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,grey,,10,3400,142.76854149161971,69.2,24.7,,21,22.4,14.7,24.3,16.2,0.65
Banksia integrifolia,priority,tree,perennial,woody,follicle,dry,AusTraits consensus,,,25,10.8,229,93.6,20.1,828,9.71,9.47,3.46,10.4,4.82,0.482
Machaerina juncea,,graminoid,perennial,herbaceous,nut,dry,AusTraits consensus,black brown red,,1.2,4.24,,4.47,0.707,1160,,3,2.8,2.63,1.65,
Telmatoblechnum indicum,,fern,perennial,herbaceous,,,,,terrestrial,1,,,67.6,9.06,,,,,,,
Blumea axillaris,,herb,annual,herbaceous,achene,dry,Inferred from fruit type,,,1,0.0309,,38.4,13.4,,,,,0.866,,
Boerhavia coccinea,,herb,annual perennial,semi-woody,achene anthocarp,dry,Inferred from fruit type,,,1,1.38,,19.4,13.7,330,,,,3.52,1.16,
Bonamia media,,climber_herbaceous,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,,4.44,,14.4,7.85,,,,,4.3,3.46,
Boronia occidentalis,,shrub,perennial,woody,follicle mericarp,dry,Inferred from fruit type,,,1,1.38,,3.98,1.11,,,,,,,
Xerochrysum bracteatum,priority,herb,annual perennial,herbaceous,achene,dry,AusTraits consensus,brown,,1.5,0.374,97,49.6,9.52,434,,2.29,3.63,3.24,,
Breynia oblongifolia,priority,shrub,perennial,woody,berry,fleshy,AusTraits consensus,black orange pink,,8,6.07,75.7,19.5,13.9,323,16.6,3.85,2.45,7.07,7.07,0.592
Brunoniella acaulis,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.15,,,,,,,,,,,
Brunoniella australis,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.15,17.5,67.3,34.6,12.2,,39.9,,,,,
Bulbostylis barbata,,graminoid,annual,herbaceous,nut,dry,AusTraits consensus,white yellow,,0.35,0.0613,,,0.245,,,0.6,,0.632,0.443,
Callicarpa pedunculata,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,purple white,,4,0.623,45.3,79.8,53.3,4810,,1.74,1.79,2.83,2.83,0.69
Calochlaena dubia,priority,fern,perennial,herbaceous,,,,,terrestrial,2,,36,611,2.7,162,,,,,,
Calotis lappulacea,,herb,perennial,semi-woody,achene,dry,AusTraits consensus,brown red,,0.5,0.318,50.1,10.4,2.24,67,,2.14,1.22,1.22,,
Canavalia rosea,priority,climber_herbaceous,perennial,herbaceous,legume,dry,AusTraits consensus,brown,,,568,,63.4,45.4,26100,,15.6,11,123,26.2,
Capparis arborea,,tree,perennial,woody,berry,fleshy,AusTraits consensus,green,,10,86.4,105,71.4,28.4,819,,8.37,5.48,28.5,28.5,0.697
Capparis canescens,,shrub tree,perennial,woody,berry,fleshy,AusTraits consensus,,,6,,,63,38.7,,,7.94,5.48,45.3,45.3,
Carpobrotus glaucescens,priority,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.25,0.233,,59.2,11.6,,,,,24.5,,
Cassytha filiformis,priority,climber_herbaceous,perennial,herbaceous,drupe nut,dry fleshy,AusTraits consensus,green orange red white,,,37.9,,1.52,,5,,,,5.61,4.85,
Casuarina equisetifolia,priority,tree,perennial,woody,nut samara,dry,AusTraits consensus,,,35,2.62,360.5000000014421,5.42,0.652,,,4.54,1.09,8.1,10.8,0.776
Causonis trifolia,,shrub tree,perennial,woody,berry,fleshy,AusTraits consensus,,,20,26.9,,46.9,30,,,5.29,4.47,7.75,12.6,
Centella asiatica,priority,herb,perennial,herbaceous,mericarp schizocarp,dry,AusTraits consensus,red,,0.4,0.97,45.272053491418255,26,31.3,1200,,,,2.59,3,
Centipeda minima,priority,herb,annual perennial,herbaceous,achene,dry,AusTraits consensus,,,0.2,0.0212,28.204170332391296,6.85,2.64,47.1,,1,0.3,1.15,0.424,
Ceriops tagal,,shrub tree,perennial,woody,berry drupe,dry fleshy,AusTraits consensus,,,15,2550,176.39075762507161,58.5,28.6,,,205,8.94,19.9,10,0.883
Chamaecrista concinna,,herb,perennial,herbaceous,legume,dry,AusTraits consensus,,,0.3,2.31,,6.71,1.2,,,,,33,2.74,
Chamaecrista nomame,,herb,annual perennial,herbaceous,legume,dry,AusTraits consensus,brown,,4,,,5.54,1.32,,,2.51,1.71,56.7,4.42,
Cheilanthes sieberi,priority,fern,perennial,herbaceous,,,,,terrestrial,0.5,,79.6,30,,137,6.87,,,,,
Dysphania carinata,priority,herb,annual perennial,herbaceous,nut nutlet utricle,dry,AusTraits consensus,,,0.6,,,10,,,,0.5,0.592,0.5,,
Chloris divaricata,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,brown yellow,,0.6,0.112,,75.8,1.72,81,,1.82,,1.73,,
Christella dentata,,fern,perennial,herbaceous,,,,,terrestrial,0.8,,98.7,47.8,14.7,2250,11.8,,,,,
Chrysopogon fallax,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.5,1.88,,150,3.74,675,8.39,,,,,
Cissus oblonga,,climber_woody,perennial,woody,berry,fleshy,AusTraits consensus,,,,56.5,98.4,81.2,38.7,3310,,7.94,3.87,11.4,11.4,
Clematicissus opaca,,climber_herbaceous,perennial,herbaceous,berry,fleshy,AusTraits consensus,purple,,,,,18.7,9.49,3360,,5.94,4.06,8.83,10.2,
Clerodendrum floribundum,priority,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,black purple red,,10,72.4,84.9,84,42,4490,10.9,4.47,2.45,9.18,9.31,0.434
Clerodendrum inerme,priority,shrub,perennial,woody,drupe nut,dry,AusTraits consensus,black red,,6,,,56.5,24.6,,,11,4.47,12.6,10.2,
Commelina ensifolia,,herb,annual perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.5,7.91,,47,7,1440,,3.46,,6,,
Cordia dichotoma,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,,,10,98.5,155,85.7,51.2,7130,34.2,10.2,5.48,15.2,8.66,0.43
Corymbia citriodora,,tree,perennial,woody,capsule,dry,Inferred from fruit type,,,40,4.21,142,136,13.2,1850,13.8,3.39,,10.2,7.81,0.711
Corymbia clarksoniana,,tree,perennial,woody,capsule,dry,Inferred from fruit type,brown red,,25,7.54,148,107,11,,,9.95,,22.4,12.2,0.548
Corymbia intermedia,,tree,perennial,woody,capsule,dry,AusTraits consensus,white,,35,4.63,144,115,22.5,2150,12.4,7.27,1.41,14.9,11.6,0.697
Corymbia tessellaris,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,35,1.99,51.2,133,13,3650,13,1.77,1,8.8,6.98,0.914
Crinum flaccidum,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,1,,,490,21,,,,7.75,,17.3,
Crotalaria medicaginea,,herb,annual perennial,herbaceous,legume,dry,Inferred from fruit type,brown,,0.6,2.77,,12.5,2.9,,,2.37,2.29,4.04,3.87,
Crotalaria montana,,herb,annual perennial,herbaceous,legume,dry,Inferred from fruit type,black brown grey,,1.5,2.11,,23.9,3.91,,,1.94,1.73,6.89,4.47,
Cupaniopsis anacardioides,,tree,perennial,woody,capsule,dry,AusTraits consensus,orange red yellow,,15,173,119,86.6,34.6,5250,16.3,11.5,5.48,21.2,17.9,0.656
Cyanthillium cinereum,,herb,annual,herbaceous,achene nut,dry,AusTraits consensus,,,1.2,0.423,83.1,32.6,9.38,866,,,,1.56,,
Cyclophyllum coprosmoides,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,,,10,57.999999999999986,118,50,26.3,1010,,7.42,3.46,7.75,9.8,
Cyclosorus interruptus,,fern,perennial,herbaceous,,,,,terrestrial,1.6,,70.00517565678531,115,12.5,,,,,,,
Cymbopogon bombycinus,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.2,1.77,,245,2.12,454,,2.88,1.12,3.16,,
Cymbopogon refractus,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.5,0.735,178,200,1.78,850,9.26,2.5,,2.5,,
Cyperus conicus,,graminoid,perennial,herbaceous,nut,dry,AusTraits consensus,black,,1,0.542,,2.74,1.91,,,0.8,,1.8,0.8,
Cyperus difformis,,graminoid,annual,herbaceous,nut,dry,AusTraits consensus,yellow,,0.7,0.0397,95.86248206143141,0.735,2.04,,,0.3,,0.592,0.3,
Cyperus eglobosus,,graminoid,perennial,herbaceous,nut,dry,AusTraits consensus,brown yellow,,1,,,,1.5,,,0.8,,1,0.8,
Cyperus enervis,,graminoid,perennial,herbaceous,nut,dry,AusTraits consensus,brown,,0.5,0.333,,6.71,1.18,,,0.9,,1.25,0.745,
Cyperus javanicus,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,brown red,,1.2,0.297,,,,,,,,,,
Cyperus polystachyos,priority,graminoid,annual perennial,herbaceous,nut,dry,Inferred from fruit type,black brown red,,0.6,0.0795,37.686219176739286,11.2,1.73,,,,,1.1,0.447,
Cyperus rotundus,priority,graminoid,perennial,semi-woody,nut,dry,Inferred from fruit type,brown grey,,0.6,0.2104181941570559,,14.4,3.46,,,,,1.5,0.5,
Cyperus scariosus,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,brown grey,,1.2,,,,,,,,,1.4,0.548,
Dactyloctenium radulans,,graminoid,annual,herbaceous,caryopsis,dry,AusTraits consensus,,,0.4,0.292,44.2,49.2,3.59,115,5.17,,,1,,
Dentella repens,priority,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.1,,,6.93,1.58,,,,,2.45,2.45,
Oxytes brachypoda,,herb,perennial,herbaceous,legume,dry,Inferred from fruit type,brown,,1,3.55,,38.8,23.1,,,3.1,1.84,28.3,3.13,
Pullenia gunnii,,herb,perennial,herbaceous,legume,dry,AusTraits consensus,,,0.5,,,11.9,8.24,,,4.71,0.471,11.8,,
Desmodium rhytidophyllum,,herb,perennial,herbaceous,legume,dry,Inferred from fruit type,brown,,0.2,1.9,,38.9,24.4,640,,3.5,2.5,22.9,3.5,
Dianella caerulea,,herb,perennial,herbaceous,berry,fleshy,AusTraits consensus,blue,,2,6.42,200,208,7.51,1350,16.5,3.35,3.24,9.34,10,
Dianella rara,,herb,perennial,herbaceous,berry,fleshy,AusTraits consensus,,,0.8,,,229,3.16,,,2.38,,3.21,,
Digitaria ammophila,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.6,0.489,49.6,72.4,4.25,206,11.6,3.21,0.99,,,
Digitaria hystrichoides,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.6,,,73.5,4.56,346,,,,,,
Digitaria ramularis,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.9,0.173,,112,2.46,297,,,,,,
Diospyros geminata,,shrub tree,perennial,woody,berry,fleshy,AusTraits consensus,,,10,,132,61.6,31.6,1030,,7.74,3.46,10.5,9.38,
